word,arousal,all_acc_mean,early_acc_mean,late_acc_mean,cat
abuse,6.21,0.69047619,0.673804227,0.761059908,Moral-emotional
afraid,5.12,0.686813187,0.532258065,0.841964286,Distinctly Emotoinal
agony,5.78,0.645743663,0.458874459,0.789608574,Distinctly Emotoinal
alarm,6.85,0.66025641,0.617057674,0.750403226,Distinctly Emotoinal
alike,,0.607142857,0.568965517,0.65,Neutral
ally,4.8,0.604166667,0.4575,0.655487805,Distinctly Moral
along,,0.55952381,0.419354839,0.770833333,Neutral
annoy,5.04,0.575714286,0.5,0.674159664,Distinctly Emotoinal
apply,3.24,0.686378279,0.517017017,0.834365325,Neutral
argue,6.67,0.660714286,0.633928571,0.717317487,Distinctly Emotoinal
asset,4.43,0.416666667,0.532258065,0.426470588,Neutral
awful,4.86,0.781822344,0.681547619,0.862466125,Distinctly Emotoinal
best,,0.72985348,0.593306288,0.842342342,Distinctly Emotoinal
bias,4.27,0.852040816,0.807291667,0.885984427,Distinctly Moral
bunch,2.81,0.58125,0.434151786,0.725562072,Neutral
calm,1.67,0.759615385,0.515625,0.932432432,Neutral
cheat,4.91,0.630952381,0.446732955,0.753911807,Moral-emotional
church,3.63,0.642407907,0.5,0.757918552,Distinctly Moral
clean,3.57,0.671904315,0.534375,0.787931034,Distinctly Moral
coast,4.17,0.562471238,0.448913043,0.658536585,Neutral
crazy,5.9,0.821886447,0.696153846,0.916242733,Distinctly Emotoinal
crime,5.68,0.738095238,0.631944444,0.835115132,Distinctly Moral
crude,4.51,0.662601626,0.568322981,0.735294118,Distinctly Emotoinal
cruel,5.07,0.782068654,0.686128527,0.853571429,Moral-emotional
date,,0.66,0.431034483,0.833333333,Neutral
demon,5.34,0.650487805,0.573257081,0.71969697,Distinctly Moral
devil,5.4,0.796409214,0.661401099,0.926782683,Moral-emotional
dirt,3.44,0.812271062,0.654761905,0.910067873,Distinctly Moral
drum,4.67,0.6875,0.52,0.857142857,Neutral
dull,1.67,0.893772894,0.877791563,0.913131313,Distinctly Emotoinal
dumb,5.3,0.83002451,0.703703704,0.869664634,Distinctly Emotoinal
empty,2.25,0.724892396,0.577863578,0.854112554,Distinctly Emotoinal
enemy,5.3,0.6883341,0.54,0.773084815,Moral-emotional
enjoy,5,0.680952381,0.525053879,0.830400782,Distinctly Emotoinal
ethic,3.57,0.484218077,0.3125,0.609775641,Distinctly Moral
even,,0.587380952,0.5009375,0.661111111,Neutral
evil,5.67,0.789859982,0.75066313,0.835746951,Moral-emotional
fail,5.5,0.801393728,0.70021645,0.860978112,Distinctly Emotoinal
fair,3.29,0.852162908,0.708333333,0.936174242,Distinctly Moral
faith,3.4,0.831261726,0.809475806,0.898606811,Moral-emotional
fare,2.3,0.519607843,0.35,0.641025641,Neutral
fear,6.14,0.806722689,0.593362283,0.776909722,Distinctly Emotoinal
filth,4.09,0.693170732,0.625,0.761190878,Distinctly Moral
foam,2.9,0.699726232,0.421195652,0.762012012,Neutral
focus,4.45,0.726190476,0.5625,0.777777778,Neutral
form,3.85,0.585884354,0.478431373,0.656410256,Neutral
goat,,0.634615385,0.384615385,0.625,Neutral
god,5.56,0.525540727,0.75,0.85,Distinctly Moral
good,3.66,0.797619048,0.580357143,0.798076923,Moral-emotional
great,4.14,0.70195122,0.668181818,0.936950147,Distinctly Emotoinal
grief,4.95,0.842086835,0.641983696,0.859126984,Distinctly Emotoinal
grim,4.48,0.75035014,0.658854167,0.778571429,Distinctly Emotoinal
harm,5.9,0.728741497,0.657407407,0.834913793,Moral-emotional
hate,6.26,0.776785714,0.548789174,0.790740741,Moral-emotional
heal,4.32,0.701923077,0.557692308,0.666666667,Neutral
hell,6.26,0.618347339,0.611054767,0.811486963,Moral-emotional
help,4.29,0.700989416,0.556129032,0.804358238,Distinctly Moral
hero,6.35,0.66967636,0.552197802,0.800628234,Moral-emotional
hike,4.32,0.702893352,0.5125,0.738095238,Neutral
hint,4.75,0.622177055,0.629498106,0.754166667,Neutral
holy,3.37,0.695283883,0.51302521,0.80952381,Distinctly Moral
honor,4.63,0.637597791,0.697916667,0.767942584,Moral-emotional
hurt,4.72,0.734501348,0.731481481,0.832923833,Moral-emotional
icon,3.04,0.719512195,0.810344828,0.903225806,Neutral
jail,4.47,0.864761905,0.771350932,0.885353095,Distinctly Moral
joke,5.73,0.832619048,0.746081505,0.851398601,Distinctly Emotoinal
judge,4.5,0.820378151,0.696064815,0.872983871,Distinctly Moral
jury,5.2,0.798809524,0.791925466,0.879769475,Distinctly Moral
kill,6.81,0.869047619,0.826923077,0.882352941,Moral-emotional
killed,,0.817307692,0.583333333,0.814285714,Moral-emotional
law,3.55,0.790069686,0.541291291,0.5995086,Distinctly Moral
lewd,4.41,0.56302521,0.790865385,0.888111888,Distinctly Moral
liar,6.6,0.824761905,0.631864623,0.842914439,Moral-emotional
loss,5.2,0.75140056,0.817595109,0.812548263,Distinctly Emotoinal
love,5.36,0.8125,0.707282913,0.817567568,Distinctly Emotoinal
loyal,3.65,0.773580586,0.585784314,0.711111111,Moral-emotional
lust,6.44,0.650641026,0.685587762,0.7953125,Distinctly Moral
maze,4.83,0.695121951,0.630434783,0.765625,Neutral
mercy,3.67,0.682234432,0.544871795,0.79784689,Distinctly Moral
mess,4.7,0.760154062,0.639784946,0.884210526,Distinctly Emotoinal
miss,3.9,0.798809524,0.693448276,0.878571429,Distinctly Emotoinal
moral,3.73,0.693363039,0.590909091,0.775,Distinctly Moral
nasty,5.44,0.767006803,0.672427035,0.86204955,Distinctly Emotoinal
novel,3.41,0.683041878,0.531481481,0.8140625,Neutral
olive,3.92,0.581144465,0.360294118,0.710504202,Neutral
pain,6.27,0.832875458,0.74378882,0.898284314,Moral-emotional
pile,4.43,0.741815476,0.638071895,0.833417339,Neutral
press,2.8,0.642857143,0.428571429,0.785714286,Neutral
pure,4.05,0.749047619,0.578518519,0.847058824,Distinctly Moral
rank,3.67,0.740613553,0.646428571,0.790178571,Distinctly Moral
rebel,5.29,0.793519847,0.664930556,0.865842491,Moral-emotional
right,5,0.607843137,0.508417508,0.716145833,Distinctly Moral
ruin,5.4,0.723901099,0.625798212,0.828369906,Moral-emotional
sad,3.49,0.809981685,0.75,0.885859073,Distinctly Emotoinal
safe,3.14,0.739298158,0.66041979,0.795454545,Moral-emotional
saint,3.48,0.657682927,0.513690476,0.733796296,Distinctly Moral
save,4.62,0.670068027,0.527586207,0.7578125,Moral-emotional
scale,3.8,0.573409852,0.455862069,0.688555347,Neutral
score,6.35,0.556603774,0.458333333,0.653846154,Neutral
shame,5.4,0.673076923,0.534259259,0.781224152,Moral-emotional
shape,3.6,0.752518315,0.661324786,0.810772358,Neutral
sin,5.82,0.826058201,0.752631579,0.919117647,Moral-emotional
sleep,3.6,0.59375,0.285714286,0.815789474,Neutral
solid,2.36,0.726593137,0.612723214,0.817859953,Neutral
spite,,0.649509804,0.478663446,0.781653226,Moral-emotional
spy,4.74,0.888719512,0.845899471,0.918254573,Distinctly Moral
steal,5.3,0.632075472,0.569581281,0.699462366,Moral-emotional
suite,3.61,0.551820728,0.442054958,0.617321867,Neutral
swell,4.56,0.558823529,0.482758621,0.602564103,Neutral
taint,4.43,0.571886447,0.431818182,0.665205793,Distinctly Moral
theft,5.17,0.717879605,0.695,0.730996622,Distinctly Moral
tile,2.89,0.395624103,0.34375,0.423529412,Neutral
title,2.15,0.60515873,0.487992611,0.714078073,Neutral
walk,3.24,0.662698413,0.59375,0.737877583,Neutral
warm,3.35,0.664756098,0.511476427,0.758393829,Distinctly Emotoinal
wave,4.19,0.683849955,0.545727136,0.761711712,Neutral
weak,4.9,0.835243902,0.701724138,0.951357466,Distinctly Emotoinal
weep,4,0.685210623,0.630028736,0.712903226,Distinctly Emotoinal
whore,6.29,0.169221698,0.180171278,0.154956897,Moral-emotional
wrong,5.29,0.691264311,0.604770531,0.814278937,Moral-emotional
